"E8012001","E8012002","E8012003","E8012004","E8012005","E8012006","E8012007","E8012008","E8012009","E8012010","E8012011","E8012012","R0000100","R0536300","R0536401","R0536402","R1235800","R1482600"
0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,3,2,9,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,5,1,10,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,7,1,4,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,9,1,10,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,11,2,6,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,12,1,10,1981,1,2
0,0,0,0,0,0,0,0,0,0,0,0,13,1,11,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,14,1,7,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,15,2,1,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,17,2,11,1981,1,2
99,99,99,99,99,99,99,99,99,99,99,99,18,1,2,1982,1,1
0,0,0,0,0,0,0,0,0,0,0,0,19,1,4,1984,1,1
0,0,0,0,0,0,0,0,0,0,0,0,20,1,12,1980,1,1
0,0,0,0,0,0,0,0,0,0,0,0,21,1,8,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,22,1,6,1982,1,2
0,0,0,0,0,0,0,0,0,0,0,0,23,2,1,1983,1,2
99,99,99,99,99,99,99,99,99,99,99,99,24,1,6,1984,1,2
0,0,0,0,0,0,0,0,0,0,0,0,25,2,3,1983,1,2
0,0,0,0,0,0,0,0,0,0,0,0,26,1,10,1980,1,1
99,99,99,99,99,99,99,99,99,99,99,99,27,1,5,1981,1,1
0,0,0,0,0,0,0,0,0,0,0,0,28,2,11,1983,1,1
0,0,0,0,0,0,0,0,0,0,0,0,29,2,1,1983,1,4
-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,30,1,6,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,31,1,7,1982,1,4
0,0,0,0,0,0,0,0,0,0,0,0,32,2,7,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,33,2,12,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,34,2,12,1984,1,4
0,0,0,0,0,0,0,0,0,0,0,0,35,1,1,1983,1,4
0,0,0,0,0,0,0,0,0,0,0,0,36,2,8,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,37,2,11,1980,1,4
0,0,0,0,0,0,0,0,0,0,0,0,38,2,9,1981,1,4
0,0,0,0,0,0,0,0,0,0,0,0,39,1,2,1980,1,2
0,0,0,0,0,0,0,0,0,0,0,0,40,2,5,1984,1,4
